Ammonia,Benzene,CNG,CO,Hydrogen,LPG,Smoke
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.53899,8.91593,26.95697,18.46165,6.08054,12.77119,8.12712
13.49172,8.87444,26.95697,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.53899,8.91593,26.95697,18.46165,6.08054,12.77119,8.12712
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.43396,6.04396,12.70968,8.08798
13.53899,8.91593,26.95697,18.46165,6.08054,12.77119,8.10756
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.46803,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.02565,12.70968,8.08798
13.49172,8.87444,27.01032,18.43396,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.02565,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.46803,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.06837
13.49172,8.87444,27.01032,18.40626,6.02565,12.70968,8.08798
13.46803,8.85367,27.01032,18.40626,6.02565,12.67887,8.06837
13.49172,8.87444,27.01032,18.40626,6.02565,12.70968,8.06837
13.49172,8.87444,27.01032,18.40626,6.02565,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.49172,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.87444,26.95697,18.40626,6.02565,12.70968,8.06837
13.49172,8.87444,27.01032,18.40626,6.02565,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.02565,12.67887,8.06837
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.46803,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.46803,8.85367,27.01032,18.40626,6.04396,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.02565,12.70968,8.08798
13.49172,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.46803,8.87444,26.95697,18.40626,6.02565,12.70968,8.06837
13.49172,8.87444,27.01032,18.40626,6.02565,12.70968,8.08798
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.40626,6.02565,12.70968,8.06837
13.49172,8.87444,26.95697,18.40626,6.04396,12.70968,8.06837
13.46803,8.87444,26.95697,18.40626,6.02565,12.70968,8.06837
13.49172,8.87444,26.95697,18.40626,6.04396,12.70968,8.08798
13.49172,8.87444,26.95697,18.40626,6.02565,12.70968,8.06837
13.46803,8.87444,26.95697,18.40626,6.04396,12.70968,8.06837
13.49172,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.49172,8.87444,27.01032,18.40626,6.04396,12.67887,8.06837
13.49172,8.87444,27.01032,18.40626,6.04396,12.70968,8.08798
13.46803,8.87444,27.01032,18.40626,6.02565,12.67887,8.08798
13.49172,8.87444,26.95697,18.40626,6.04396,12.70968,8.06837
13.49172,8.85367,26.95697,18.40626,6.04396,12.67887,8.06837
13.46803,8.87444,26.95697,18.40626,6.02565,12.70968,8.06837
13.49172,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.49172,8.87444,27.01032,18.40626,6.02565,12.70968,8.06837
13.49172,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.87444,27.01032,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,26.95697,18.40626,6.04396,12.70968,8.06837
13.49172,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.87444,26.95697,18.40626,6.02565,12.70968,8.06837
13.46803,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
13.49172,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
13.49172,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.87444,26.95697,18.40626,6.02565,12.67887,8.06837
13.46803,8.85367,26.95697,18.40626,6.02565,12.67887,8.06837
